Year,Year ending,Police Region,LocalGovernmentArea,Offence Count,"Rate per 100,000 population"
2023,March,1 North West Metro,Maribyrnong,"8,664","9,441.80"
2023,March,1 North West Metro,Melbourne,"34,391","19,386.60"
2023,March,1 North West Metro,Melton,"12,146","5,894.10"
2023,March,1 North West Metro,Merri-bek,"12,388","6,835.80"
2023,March,1 North West Metro,Moonee Valley,"7,685","6,075.80"
2023,March,1 North West Metro,Nillumbik,"1,610","2,544.90"
2023,March,1 North West Metro,Whittlesea,"12,938","5,280.20"
2023,March,1 North West Metro,Wyndham,"18,143","5,598.20"
2023,March,1 North West Metro,Yarra,"13,419","13,770.40"
2023,March,1 North West Metro,Total,"183,559","7,809.00"
2023,March,2 Eastern,Alpine,442,"3,353.10"
2023,March,2 Eastern,BassCoast,"2,935","6,868.90"
2023,March,2 Eastern,Baw Baw,"4,177","6,887.70"
2023,March,2 Eastern,Benalla,"1,432","9,856.10"
2023,March,2 Eastern,Boroondara,"7,237","4,146.40"
2023,March,2 Eastern,East Gippsland,"4,856","9,874.10"
2023,March,2 Eastern,Greater Shepparton,"9,087","13,143.80"
2023,March,2 Eastern,Indigo,730,"4,133.20"
2023,March,2 Eastern,Knox,"9,500","5,872.70"
2023,March,2 Eastern,Latrobe,"11,554","14,783.60"
2023,March,2 Eastern,Manningham,"4,144","3,199.70"
2023,March,2 Eastern,Mansfield,399,"3,783.40"
2023,March,2 Eastern,Maroondah,"7,633","6,499.80"
2023,March,2 Eastern,Mitchell,"3,951","7,354.40"
2023,March,2 Eastern,Moira,"2,216","7,200.60"
2023,March,2 Eastern,Monash,"12,171","5,979.10"
2023,March,2 Eastern,Murrindindi,745,"4,812.00"
2023,March,2 Eastern,South Gippsland,"2,025","6,569.80"
2023,March,2 Eastern,Strathbogie,541,"4,672.70"
2023,March,2 Eastern,Towong,174,"2,787.10"
2023,March,2 Eastern,Wangaratta,"2,548","8,492.80"
2023,March,2 Eastern,Wellington,"4,445","9,637.10"
2023,March,2 Eastern,Whitehorse,"8,355","4,677.00"
2023,March,2 Eastern,Wodonga,"3,745","8,458.30"
2023,March,2 Eastern,Yarra Ranges,"7,122","4,487.90"
2023,March,2 Eastern,Total,"112,164","6,413.30"
2023,March,3 Southern Metro,Bayside,"5,153","4,941.90"
2023,March,3 Southern Metro,Cardinia,"6,585","5,186.70"
2023,March,3 Southern Metro,Casey,"21,660","5,524.00"
2023,March,3 Southern Metro,Frankston,"13,187","9,232.90"
2023,March,3 Southern Metro,Glen Eira,"7,082","4,515.50"
2023,March,3 Southern Metro,Greater Dandenong,"18,080","11,038.40"
2023,March,3 Southern Metro,Kingston,"10,948","6,686.90"
2023,March,3 Southern Metro,Mornington Peninsula,"9,756","5,730.60"
2023,March,3 Southern Metro,Port Phillip,"13,018","11,887.00"
2023,March,3 Southern Metro,Stonnington,"11,314","10,162.10"
2023,March,3 Southern Metro,Total,"116,783","7,113.90"
2023,March,4 Western,Ararat,"1,427","12,214.30"
2023,March,4 Western,Ballarat,"11,096","9,392.50"
2023,March,4 Western,Buloke,392,"6,490.10"
2023,March,4 Western,Campaspe,"3,659","9,553.80"
2023,March,4 Western,Central Goldfields,"1,125","8,287.90"
2023,March,4 Western,Colac-Otway,"1,509","6,775.00"
2023,March,4 Western,Corangamite,656,"4,113.40"
2023,March,4 Western,Gannawarra,836,"8,023.00"
2023,March,4 Western,Glenelg,"1,635","8,166.00"
2023,March,4 Western,Golden Plains,686,"2,657.10"
2023,March,4 Western,Greater Bendigo,"11,001","8,859.30"
2023,March,4 Western,Greater Geelong,"20,788","7,350.50"
2023,March,4 Western,Hepburn,660,"3,959.20"
2023,March,4 Western,Hindmarsh,286,"5,144.80"
2023,March,4 Western,Horsham,"2,493","12,271.70"
2023,March,4 Western,Loddon,462,"5,963.60"
2023,March,4 Western,Macedon Ranges,"2,172","4,104.30"
2023,March,4 Western,Mildura,"7,599","13,203.30"
2023,March,4 Western,Moorabool,"2,185","5,589.40"
2023,March,4 Western,Mount Alexander,971,"4,719.10"
2023,March,4 Western,Moyne,592,"3,361.70"
2023,March,4 Western,Northern Grampians,966,"8,132.00"
2023,March,4 Western,Pyrenees,400,"5,137.40"
2023,March,4 Western,Queenscliffe,56,"1,729.50"
2023,March,4 Western,Southern Grampians,"1,197","7,267.80"
2023,March,4 Western,Surf Coast,"1,059","2,695.20"
2023,March,4 Western,Swan Hill,"2,125","10,017.90"
2023,March,4 Western,Warrnambool,"3,017","8,402.30"
2023,March,4 Western,West Wimmera,131,"3,330.80"
2023,March,4 Western,Yarriambiack,436,"6,824.20"
2023,March,4 Western,Total,"81,617","7,604.00"
2023,March,Justice Institutions and Immigration Facilities,JusticeInstitutionsandImmigrationFacilities,"2,158",
2023,March,Justice Institutions and Immigration Facilities,Total,"2,158",
2023,March,Unincorporated Vic,Unincorporated Vic,113,
2023,March,Unincorporated Vic,Total,113,
2022,March,1 North West Metro,Banyule,"7,215","5,662.10"
2022,March,1 North West Metro,Brimbank,"16,815","8,694.80"
2022,March,1 North West Metro,Darebin,"12,388","8,225.50"
2022,March,1 North West Metro,Hobsons Bay,"5,886","6,407.30"
2022,March,1 North West Metro,Hume,"17,869","7,057.80"
2022,March,1 North West Metro,Maribyrnong,"8,701","9,932.10"
2022,March,1 North West Metro,Melbourne,"34,462","21,494.70"
2022,March,1 North West Metro,Melton,"12,084","6,251.90"
