SA2 name,Growth > 1 & Pop > 7000 in 2023,,2018,2019,2020,2021,2022,2023,5 yrs Growth Rate,Population > 7000 in 2023
Brookfield,TRUE,,9691,9787,9901,9948,9976,10167,1.049117738,TRUE
Cobblebank - Strathtulloh,TRUE,,2763,4343,6158,7715,8876,10248,3.709011944,TRUE
Eynesbury - Exford,FALSE,,2999,2995,3020,3026,3132,3427,1.142714238,FALSE
Fraser Rise - Plumpton,TRUE,,7015,8001,8767,10239,12991,16420,2.340698503,TRUE
Hillside,FALSE,,16859,16717,16495,16346,16230,16143,0.957530103,TRUE
Kurunjang - Toolern Vale,TRUE,,11671,11908,11979,11748,11831,11914,1.020820838,TRUE
Melton,FALSE,,8338,8359,8261,7966,7909,8011,0.960781962,TRUE
Melton South - Weir Views,TRUE,,13173,14242,15664,16926,18736,20224,1.53526152,TRUE
Hoppers Crossing - North,FALSE,,19926,19694,19405,18657,18263,18317,0.91925123,TRUE
Hoppers Crossing - South,FALSE,,20311,20186,19933,18991,18511,18789,0.925065236,TRUE
Laverton,TRUE,,10899,11499,11972,11643,11891,12421,1.139645839,TRUE
Werribee - South,TRUE,,13695,15022,16350,16994,17473,17832,1.302081051,TRUE
Point Cook - East,TRUE,,16101,17894,19135,19593,20154,20834,1.293956897,TRUE
Point Cook - South,TRUE,,18163,19047,19372,19384,19678,20237,1.114188185,TRUE
Werribee - East,FALSE,,20629,20490,20186,19235,18818,18972,0.919676184,TRUE
Werribee - West,TRUE,,15143,17512,20235,22692,25536,28144,1.858548504,TRUE
Manor Lakes - Quandong,TRUE,,8338,9192,10023,10791,11437,12002,1.439433917,TRUE
Point Cook - North East,FALSE,,15268,15223,14973,14324,14314,14697,0.96260152,TRUE
Point Cook - North West,TRUE,,9678,9739,9798,9689,9753,9998,1.033064683,TRUE
Tarneit (West) - Mount Cottrell,TRUE,,3216,5319,7364,10316,13094,15293,4.75528607,TRUE
Tarneit - Central,TRUE,,27272,27895,28306,28594,28727,29321,1.075132004,TRUE
Tarneit - North,TRUE,,2413,4008,5655,7340,9428,11213,4.646912557,TRUE
Tarneit - South,TRUE,,11272,11390,11515,11312,11411,11633,1.03202626,TRUE
Truganina - North,TRUE,,4284,6035,7904,9548,11596,13025,3.04038282,TRUE
Truganina - South East,TRUE,,7302,8222,9090,9761,10031,10443,1.430156122,TRUE
Truganina - South West,TRUE,,18934,19343,19407,19389,19534,19938,1.053026302,TRUE
Wyndham Vale - North,TRUE,,5352,6487,7852,9176,10722,11899,2.223281016,TRUE
Wyndham Vale - South,FALSE,,13994,14106,13913,13704,13725,13888,0.992425325,TRUE
Carrum Downs,TRUE,,22045,22195,22391,22264,22405,22892,1.038421411,TRUE
Frankston,TRUE,,23992,24129,24264,23909,23827,24164,1.007169056,TRUE
Frankston North,FALSE,,20022,20010,19973,19666,19609,19757,0.986764559,TRUE
Frankston South,FALSE,,19194,19260,19182,18948,18997,19156,0.998020215,TRUE
Langwarrin,TRUE,,25019,25109,25259,25252,25361,25563,1.021743475,TRUE
Seaford ,TRUE,,17329,17409,17443,17362,17489,17764,1.025102429,TRUE
Skye - Sandhurst,FALSE,,13930,13858,13679,13423,13473,13530,0.971284996,TRUE
Dromana,TRUE,,12473,12778,13175,13469,13566,13574,1.088270665,TRUE
Flinders,FALSE,,5798,5878,5957,6024,6047,6015,1.037426699,FALSE
Hastings - Somers,TRUE,,23603,23930,24194,24245,24073,23973,1.015675973,TRUE
Mount Eliza,FALSE,,18990,19076,19139,18924,18783,18878,0.994102159,TRUE
Mount Martha,TRUE,,19770,20006,20076,20026,19983,20087,1.016034396,TRUE
Point Nepean,TRUE,,18758,19185,19649,20000,19940,19947,1.063386289,TRUE
Rosebud - McCrae,TRUE,,22343,22649,22938,23149,22986,23108,1.034238912,TRUE
Somerville,FALSE,,18911,18847,18795,18693,18618,18809,0.994606314,TRUE
Mornington - East,FALSE,,15492,15580,15544,15272,15098,15075,0.973082881,TRUE
Mornington - West,TRUE,,10426,10665,10719,10638,10639,10777,1.033665835,TRUE
Ararat,FALSE,,8428,8465,8552,8470,8396,8339,0.989439962,TRUE
Ararat Surrounds,FALSE,,3188,3186,3187,3184,3190,3162,0.991844417,FALSE
Horsham,TRUE,,16631,16754,16942,16951,16939,16876,1.014731525,TRUE
Horsham Surrounds,FALSE,,3459,3472,3469,3451,3437,3467,1.002312807,FALSE
Nhill Region,FALSE,,6894,6885,6898,6907,6839,6796,0.98578474,FALSE
St Arnaud,FALSE,,3364,3394,3427,3428,3451,3435,1.021105826,FALSE
Stawell,TRUE,,8279,8322,8387,8467,8442,8459,1.021741756,TRUE
West Wimmera,FALSE,,2785,2785,2787,2749,2724,2715,0.97486535,FALSE
Yarriambiack,FALSE,,6639,6617,6583,6453,6376,6327,0.953004971,FALSE
Irymple,TRUE,,7178,7322,7510,7679,7768,7876,1.097241571,TRUE
Merbein,FALSE,,4963,4989,5002,4954,4934,4943,0.995970179,FALSE
Mildura Surrounds,FALSE,,3727,3727,3736,3711,3737,3759,1.008585994,FALSE
Red Cliffs,FALSE,,6121,6158,6210,6123,6106,6065,0.990851168,FALSE
Mildura - North,FALSE,,18591,18589,18491,18085,18137,18229,0.980528213,TRUE
Mildura - South,TRUE,,15574,15979,16386,16414,16568,16682,1.071144215,TRUE
Buloke,FALSE,,6218,6170,6160,6136,6124,6044,0.972016726,FALSE
Gannawarra,FALSE,,6681,6633,6624,6666,6629,6559,0.981739261,FALSE
Kerang,FALSE,,3915,3924,3946,3944,3900,3856,0.984929757,FALSE
Robinvale,FALSE,,3598,3702,3769,3749,3687,3753,1.043079489,FALSE
Swan Hill,FALSE,,11216,11264,11278,11173,11032,10948,0.976105563,TRUE
Swan Hill Surrounds,FALSE,,6427,6442,6453,6460,6521,6512,1.013225455,FALSE
Echuca,TRUE,,15153,15293,15437,15591,15629,15585,1.028509206,TRUE
Kyabram,FALSE,,11055,11096,11134,11057,11002,10952,0.990682949,TRUE
Lockington - Gunbower,FALSE,,3872,3850,3863,3910,3968,3944,1.018595041,FALSE
Rochester,FALSE,,3941,3949,3973,3988,3960,3792,0.962192337,FALSE
Rushworth,FALSE,,4079,4094,4129,4168,4159,4187,1.026477078,FALSE
Cobram,FALSE,,6459,6457,6481,6440,6498,6662,1.031429014,FALSE
Moira,FALSE,,2681,2727,2785,2832,2849,2834,1.057068258,FALSE
Numurkah,FALSE,,12473,12497,12524,12502,12510,12467,0.999518961,TRUE
Yarrawonga,TRUE,,8297,8418,8508,8593,8727,8812,1.062070628,TRUE
Mooroopna,FALSE,,8196,8303,8340,8309,8295,8110,0.989507077,TRUE
Shepparton - North,TRUE,,19653,19938,20099,20037,20117,20157,1.02564494,TRUE
Shepparton Surrounds - East,FALSE,,3956,3984,4011,4010,4027,4061,1.026541962,FALSE
Shepparton Surrounds - West,TRUE,,10327,10343,10360,10329,10383,10394,1.006487847,TRUE
Kialla,TRUE,,8064,8454,8758,9067,9477,9733,1.206969246,TRUE
Shepparton - South East,TRUE,,16433,16513,16706,16573,16476,16494,1.003712043,TRUE
Glenelg ,TRUE,,8820,8837,8852,8872,8872,8839,1.002154195,TRUE
Hamilton ,TRUE,,10187,10254,10348,10286,10224,10310,1.012074212,TRUE
Portland,TRUE,,11067,11150,11198,11183,11175,11181,1.010300895,TRUE
Southern Grampians,FALSE,,6171,6189,6220,6266,6233,6213,1.006806028,FALSE
Camperdown,FALSE,,3561,3540,3497,3471,3454,3410,0.957596181,FALSE
Colac,FALSE,,12651,12719,12775,12698,12627,12640,0.999130504,TRUE
Colac Surrounds,FALSE,,5475,5529,5600,5645,5612,5665,1.034703196,FALSE
Corangamite - North,FALSE,,5359,5342,5359,5360,5349,5322,0.993095727,FALSE
Corangamite - South,FALSE,,7261,7239,7200,7146,7143,7164,0.986640959,TRUE
Otway,FALSE,,3710,3802,3911,3979,3974,3983,1.073584906,FALSE
Moyne - East,TRUE,,6746,6798,6883,6990,7046,7132,1.057219093,TRUE
Moyne - West,TRUE,,9783,9845,9859,9967,10098,10148,1.037309619,TRUE
Warrnambool - North,TRUE,,21954,22184,22416,22470,22586,22762,1.036804227,TRUE
Warrnambool - South,TRUE,,13226,13264,13346,13298,13323,13476,1.018902162,TRUE
