SA2 name,Growth > 1 & Pop > 7000 in 2023,,2018,2019,2020,2021,2022,2023,5 yrs Growth Rate,Population > 7000 in 2023
Hurstbridge,FALSE,,3626,3624,3632,3576,3542,3529,0.973248759,FALSE
Kinglake,FALSE,,4121,4153,4172,4237,4309,4353,1.056297015,FALSE
Panton Hill - St Andrews,FALSE,,5406,5321,5236,5121,5162,5129,0.948760636,FALSE
Plenty - Yarrambat,FALSE,,9858,9869,9763,9521,9435,9570,0.970785149,TRUE
Research - North Warrandyte,FALSE,,7021,7001,6999,6987,6969,6979,0.994017946,FALSE
Wattle Glen - Diamond Creek,TRUE,,14507,14498,14579,14538,14434,14548,1.002826222,TRUE
Bundoora - North,FALSE,,8005,7876,7760,7424,7491,7773,0.971018114,TRUE
Bundoora - West,FALSE,,6471,6478,6463,6237,6305,6538,1.010353887,FALSE
Mill Park - North,FALSE,,18597,18476,18274,17640,17321,17449,0.938269613,TRUE
Mill Park - South,FALSE,,12250,12047,11897,11339,11167,11288,0.921469388,TRUE
Thomastown,FALSE,,21458,21367,21173,20201,19992,20197,0.941234039,TRUE
Wallan,TRUE,,18740,20090,21543,22953,24680,26304,1.403628602,TRUE
Whittlesea,TRUE,,9121,9436,9803,10763,12336,14020,1.537112159,TRUE
Epping - East,FALSE,,13931,13928,13793,13269,13170,13354,0.958581581,TRUE
Epping - South,FALSE,,8783,8766,8655,8279,8085,8301,0.945121257,TRUE
Epping  - West,TRUE,,12431,12598,12552,12279,12403,12699,1.021559006,TRUE
South Morang - North,FALSE,,12950,13010,12942,12714,12704,12879,0.994517375,TRUE
South Morang - South,FALSE,,12769,12811,12856,12513,12410,12588,0.985825045,TRUE
Wollert,TRUE,,14544,17309,20975,24807,28244,30758,2.114823982,TRUE
Doreen - North,TRUE,,15853,16065,16321,16484,16712,17110,1.079290986,TRUE
Doreen - South,TRUE,,8498,9369,10137,10595,11101,11494,1.352553542,TRUE
Lalor - East,FALSE,,10636,10591,10426,10025,9843,9963,0.936724332,TRUE
Lalor - West,TRUE,,13736,13843,13900,13623,13642,13819,1.006042516,TRUE
Mernda - North,TRUE,,10437,11111,11473,11553,11658,11775,1.128197758,TRUE
Mernda - South,TRUE,,10131,10991,11640,12086,12559,13024,1.285559175,TRUE
Airport West,TRUE,,8169,8390,8362,8240,8295,8464,1.036112131,TRUE
Essendon Airport,FALSE,,6,8,11,14,14,14,2.333333333,FALSE
Keilor,FALSE,,9012,8953,8778,8596,8541,8562,0.950066578,TRUE
Niddrie - Essendon West,TRUE,,7504,7594,7646,7520,7573,7797,1.039045842,TRUE
Strathmore,TRUE,,10269,10311,10277,10107,10184,10323,1.005258545,TRUE
Avondale Heights,TRUE,,12451,12628,12642,12473,12393,12570,1.009557465,TRUE
Keilor East,FALSE,,15357,15475,15471,15174,15196,15312,0.99706974,TRUE
Gisborne,TRUE,,13909,14121,14245,14340,14456,14905,1.071608311,TRUE
Macedon,FALSE,,3542,3541,3536,3540,3581,3590,1.013551666,FALSE
Riddells Creek,FALSE,,4298,4340,4442,4498,4539,4561,1.061191252,FALSE
Romsey,TRUE,,10102,10372,10612,10835,11090,11268,1.115422689,TRUE
Coburg North,TRUE,,8589,8694,8775,8513,8613,8826,1.027593433,TRUE
Fawkner,FALSE,,14795,14917,14781,14184,14192,14707,0.994052045,TRUE
Gowanbrae,FALSE,,3120,3139,3156,3141,3134,3191,1.02275641,FALSE
Hadfield,FALSE,,6110,6273,6394,6298,6378,6525,1.06792144,FALSE
Glenroy - East,TRUE,,15411,15554,15565,14980,14870,15431,1.001297774,TRUE
Glenroy - West,TRUE,,8863,9077,9246,8976,9022,9349,1.054834706,TRUE
Oak Park,TRUE,,7943,8073,8153,7978,8107,8289,1.043560368,TRUE
Pascoe Vale,TRUE,,17860,17962,17951,17402,17476,17934,1.004143337,TRUE
Sunbury,TRUE,,13454,13637,13858,13788,13845,14231,1.057752341,TRUE
Diggers Rest,FALSE,,2989,3760,4651,5302,5840,6443,2.155570425,FALSE
Sunbury - South,TRUE,,14402,14719,15046,15103,15485,16043,1.113942508,TRUE
Sunbury - West,FALSE,,11737,11789,11547,11271,11147,11380,0.969583369,TRUE
Broadmeadows,FALSE,,14555,14765,14747,14063,13948,14343,0.985434559,TRUE
Campbellfield - Coolaroo,FALSE,,17185,17146,16885,16245,15882,16220,0.943846378,TRUE
Gladstone Park - Westmeadows,FALSE,,18583,18614,18598,18176,17994,18180,0.978313512,TRUE
Greenvale - Bulla,TRUE,,19485,20327,21279,22406,23526,24613,1.263176803,TRUE
Meadow Heights,FALSE,,15876,15868,15840,15070,14645,14879,0.937200806,TRUE
Melbourne Airport,FALSE,,168,156,143,130,130,130,0.773809524,FALSE
Tullamarine,FALSE,,6820,6835,6824,6628,6515,6582,0.965102639,FALSE
Craigieburn - Central,FALSE,,8869,8844,8715,8190,7987,8134,0.917127072,TRUE
Craigieburn - North,FALSE,,12936,13007,12893,12446,12431,12685,0.980596784,TRUE
Craigieburn - South,TRUE,,19547,20665,21632,22007,22586,23482,1.201309664,TRUE
Mickleham - Yuroke,TRUE,,9202,14052,18657,23795,28568,31976,3.474896762,TRUE
Craigieburn - North West,TRUE,,7482,8326,9253,9975,10377,10765,1.438786421,TRUE
Craigieburn - West,TRUE,,10988,11844,12687,13194,13643,14250,1.296869312,TRUE
Roxburgh Park (South) - Somerton,FALSE,,10198,10123,10043,9582,9509,9683,0.949499902,TRUE
Roxburgh Park - North,TRUE,,14035,14650,14993,14848,14961,15185,1.081938012,TRUE
Bayswater,TRUE,,12818,12948,12992,12708,12708,13029,1.016461226,TRUE
Knoxfield - Scoresby,TRUE,,16588,16923,17016,16734,16708,17027,1.026464914,TRUE
Lysterfield,FALSE,,6919,6890,6802,6654,6569,6573,0.949992774,FALSE
Rowville - Central,FALSE,,15895,15885,15826,15540,15463,15702,0.987857817,TRUE
Rowville - North,FALSE,,8267,8203,8122,7962,7809,7847,0.949195597,TRUE
Rowville - South,FALSE,,10925,10866,10754,10462,10393,10479,0.959176201,TRUE
Wantirna,FALSE,,14687,14778,14866,14446,14219,14519,0.988561313,TRUE
Wantirna South,FALSE,,18615,18629,18602,18099,17974,18164,0.975772227,TRUE
Boronia,TRUE,,23425,23697,23924,23837,23850,24196,1.032913554,TRUE
Ferntree Gully - North,FALSE,,14477,14534,14446,14247,14234,14385,0.993645092,TRUE
Ferntree Gully (South) - Upper Ferntree Gully,TRUE,,15415,15541,15517,15451,15349,15571,1.010120013,TRUE
The Basin,FALSE,,4469,4455,4415,4380,4314,4316,0.965764153,FALSE
Donvale - Park Orchards,FALSE,,16804,16777,16668,16410,16405,16511,0.982563675,TRUE
Warrandyte - Wonga Park,FALSE,,10590,10551,10404,10181,10090,10139,0.957412653,TRUE
Bayswater North,FALSE,,12392,12423,12332,11967,11839,11921,0.961991607,TRUE
Croydon Hills - Warranwood,FALSE,,18766,18727,18640,18232,18152,18326,0.976553341,TRUE
Ringwood,TRUE,,18504,18876,19158,18919,18977,19317,1.043936446,TRUE
Ringwood East,FALSE,,21495,21660,21785,21351,21262,21461,0.998418237,TRUE
Ringwood North,FALSE,,10073,10044,9931,9723,9665,9700,0.962970317,TRUE
Croydon - East,TRUE,,16181,16305,16403,16236,16215,16594,1.025523762,TRUE
Croydon - West,TRUE,,14324,14519,14561,14246,14207,14605,1.019617425,TRUE
Croydon South,FALSE,,4918,4949,5015,4936,4977,5046,1.02602684,FALSE
Forest Hill,FALSE,,11260,11204,11166,10866,10867,11023,0.978952043,TRUE
Mitcham ,TRUE,,17231,17282,17338,16930,17017,17319,1.005107074,TRUE
Nunawading,TRUE,,12786,12840,12861,12518,12602,12927,1.011027687,TRUE
Vermont,TRUE,,11144,11260,11337,11079,10993,11150,1.000538406,TRUE
Vermont South,FALSE,,12391,12386,12303,12042,12046,12181,0.983052215,TRUE
Belgrave - Selby,FALSE,,10429,10378,10339,10091,9990,9961,0.955125132,TRUE
Chirnside Park,TRUE,,11046,11468,11767,11876,12087,12392,1.121854065,TRUE
Healesville - Yarra Glen,FALSE,,14367,14420,14335,14181,14100,14121,0.982877427,TRUE
Kilsyth,TRUE,,9685,9879,9962,9980,10105,10351,1.068766133,TRUE
Lilydale - Coldstream,TRUE,,19822,19913,19952,19786,19909,20043,1.011149228,TRUE
Monbulk - Silvan,FALSE,,5865,5852,5878,5859,5795,5807,0.990110827,FALSE
Montrose,FALSE,,7139,7110,7051,6993,6962,6928,0.97044404,FALSE
Mooroolbark,TRUE,,23587,23843,23917,23442,23607,23985,1.016873702,TRUE
Mount Dandenong - Olinda,FALSE,,10074,10051,9953,9770,9642,9633,0.956223943,TRUE
Mount Evelyn,FALSE,,10086,10059,9949,9866,9807,9919,0.983442395,TRUE
Upwey - Tecoma,FALSE,,10024,9996,9952,9848,9732,9777,0.975359138,TRUE
Wandin - Seville,FALSE,,8011,7997,7996,7963,7950,7989,0.997253776,TRUE
Yarra Valley,TRUE,,16862,16960,17006,16947,16957,16963,1.0059898,TRUE
Emerald - Cockatoo,TRUE,,18776,18843,18838,18802,18741,18911,1.00719003,TRUE
Beaconsfield - Officer,TRUE,,17743,20259,22381,23966,25775,26967,1.51986699,TRUE
Bunyip - Garfield,TRUE,,9121,9402,9701,9940,10063,10193,1.117530972,TRUE
Koo Wee Rup,TRUE,,8303,8757,9387,10160,10814,11523,1.387811634,TRUE
Pakenham - North East,TRUE,,15322,15545,15625,15622,15793,16028,1.046077536,TRUE
Pakenham - North West,TRUE,,6040,6587,7128,7567,8103,8808,1.458278146,TRUE
Pakenham - South East,FALSE,,5452,5799,6215,6493,6601,6689,1.226889215,FALSE
Pakenham - South West,TRUE,,26346,26963,27387,27171,27453,27999,1.062741972,TRUE
Berwick - North,FALSE,,23851,23878,23710,23181,23076,23563,0.987925035,TRUE
Doveton,TRUE,,12260,12345,12513,12058,12169,12515,1.020799347,TRUE
Hallam,TRUE,,11697,11911,11968,11598,11580,11765,1.005813456,TRUE
Narre Warren North,FALSE,,8372,8383,8365,8308,8236,8206,0.980172002,TRUE
Endeavour Hills - North,FALSE,,12570,12550,12458,12190,12077,12048,0.958472554,TRUE
Endeavour Hills - South,FALSE,,14060,13989,13845,13461,13309,13506,0.96059744,TRUE
Narre Warren - North East,FALSE,,14030,14010,13888,13617,13500,13656,0.973342837,TRUE
Narre Warren - South West,TRUE,,14951,15097,15170,14900,14955,15266,1.021068825,TRUE
Berwick - South East,TRUE,,17693,17857,17923,17986,18378,19159,1.082857627,TRUE
Berwick - South West,TRUE,,10552,10918,11196,11362,11653,12125,1.149071266,TRUE
Cranbourne,TRUE,,21414,21516,21673,21581,21616,22034,1.028953021,TRUE
Cranbourne South,TRUE,,10722,12870,15388,17641,19727,21862,2.038985264,TRUE
Cranbourne West,TRUE,,18628,19788,20867,21853,22959,23813,1.278344428,TRUE
Lynbrook - Lyndhurst,TRUE,,17230,17631,18118,18271,18648,19029,1.104410911,TRUE
Pearcedale - Tooradin,FALSE,,8146,8160,8140,8083,8104,8142,0.999508961,TRUE
Narre Warren South - East,FALSE,,13707,13611,13417,13270,13168,13162,0.960239294,TRUE
Narre Warren South - West,FALSE,,17630,17539,17356,16930,16777,17099,0.969880885,TRUE
Clyde North - North,TRUE,,5685,7501,9217,10652,11702,12529,2.203869833,TRUE
Clyde North - South,TRUE,,4175,8007,11904,15038,18009,20688,4.955209581,TRUE
Cranbourne East - North,TRUE,,21760,22806,23384,23785,24269,24860,1.142463235,TRUE
Cranbourne East - South,TRUE,,8073,9701,11120,12450,13665,14472,1.79264214,TRUE
Cranbourne North - East,TRUE,,11050,11982,12658,12925,13271,13578,1.228778281,TRUE
Cranbourne North - West,FALSE,,12452,12428,12327,12042,11986,12193,0.979200128,TRUE
Hampton Park - East,FALSE,,13348,13464,13386,12858,12843,13136,0.984117471,TRUE
Hampton Park - West,FALSE,,14031,14064,13979,13518,13427,13704,0.976694462,TRUE
Clarinda - Oakleigh South,FALSE,,12285,12222,12134,11653,11500,11674,0.95026455,TRUE
Clayton South,TRUE,,13662,14096,14152,13562,13949,14740,1.078904992,TRUE
Dandenong North,FALSE,,23930,23974,23655,22834,22565,22908,0.957292102,TRUE
Dingley Village,FALSE,,10700,10766,10736,10553,10557,10673,0.997476636,TRUE
Noble Park North,FALSE,,7858,7828,7762,7518,7466,7592,0.966149147,TRUE
Springvale,FALSE,,23549,23774,23650,22515,22639,23509,0.998301414,TRUE
Springvale South,FALSE,,13327,13338,13295,12728,12463,12828,0.962557215,TRUE
Noble Park - East,FALSE,,13487,13597,13605,12889,12868,13362,0.990731816,TRUE
Noble Park - West,TRUE,,20027,20275,20237,19810,19682,20206,1.008937934,TRUE
Dandenong - North,FALSE,,23382,23377,23012,21820,21384,22193,0.949148918,TRUE
Dandenong - South,FALSE,,9931,9993,9898,9491,9558,9826,0.989427047,TRUE
Keysborough - North,FALSE,,15830,15819,15619,15205,15006,15119,0.955085281,TRUE
Keysborough - South,TRUE,,13574,14321,14915,15290,15663,16249,1.197067924,TRUE
Ashwood - Chadstone,TRUE,,19978,20259,20324,19782,20077,20600,1.031134248,TRUE
Glen Waverley - East,FALSE,,22569,22712,22684,21882,21755,22429,0.993796801,TRUE
Glen Waverley - West,TRUE,,20912,21349,21761,21324,21545,22533,1.077515302,TRUE
Mount Waverley - North,TRUE,,16352,16471,16649,16238,16302,16796,1.027152642,TRUE
Mount Waverley - South,TRUE,,19912,20087,20062,19471,19608,20236,1.016271595,TRUE
Mulgrave,TRUE,,20623,20684,20698,20072,20232,20690,1.0032488,TRUE
Oakleigh - Huntingdale,TRUE,,23265,23577,23721,23253,23558,24439,1.050462067,TRUE
Wheelers Hill,FALSE,,21049,21137,21193,20854,20691,20973,0.996389377,TRUE
Clayton (North) - Notting Hill,TRUE,,11830,11725,11715,10099,10735,12753,1.078021978,TRUE
Clayton - Central,TRUE,,13524,13834,14027,12276,12914,14178,1.048358474,TRUE
Ardeer - Albion,FALSE,,8228,8183,8082,7590,7480,7711,0.937165775,TRUE
Cairnlea,FALSE,,10444,10452,10510,10142,10012,10101,0.967158177,TRUE
Delahey,FALSE,,8732,8663,8533,8148,8039,8019,0.918346312,TRUE
Keilor Downs,FALSE,,13870,13765,13567,13193,12990,13011,0.938067772,TRUE
Kings Park ,FALSE,,14621,14651,14477,14076,13845,13879,0.949251077,TRUE
St Albans - North,FALSE,,21726,21850,21663,20838,20335,20760,0.955537144,TRUE
St Albans - South,FALSE,,18494,18560,18385,17656,17134,17496,0.946036552,TRUE
Sunshine,FALSE,,10318,10306,10100,9568,9629,9940,0.963364993,TRUE
Sunshine North,FALSE,,12461,12490,12451,12161,11990,12214,0.980178156,TRUE
Sunshine West,FALSE,,19893,19915,19633,18770,18307,18572,0.933594732,TRUE
Sydenham,FALSE,,12679,12660,12432,11859,11606,11804,0.930988248,TRUE
Taylors Lakes,FALSE,,18175,17974,17614,17070,16771,16927,0.93133425,TRUE
Deer Park,FALSE,,19291,19238,18976,18219,17990,18202,0.943548805,TRUE
Derrimut,FALSE,,9037,9114,9015,8748,8726,8851,0.979417948,TRUE
Altona,TRUE,,13657,13861,13878,13655,13728,13899,1.017719851,TRUE
Altona Meadows,FALSE,,20101,20031,19500,18660,18360,18644,0.927516044,TRUE
Altona North,TRUE,,15185,15400,15396,15084,15071,15387,1.013302601,TRUE
Newport,TRUE,,18975,19261,19414,18983,18961,19487,1.026982872,TRUE
Seabrook,FALSE,,5397,5368,5250,4999,4867,4926,0.912729294,FALSE
Williamstown,FALSE,,16655,16795,16659,16075,16179,16586,0.9958571,TRUE
Braybrook,TRUE,,19700,19811,19901,19359,19541,20210,1.025888325,TRUE
Footscray,TRUE,,17905,18054,18092,17419,18127,19957,1.114604859,TRUE
Maribyrnong,TRUE,,13204,13241,13263,12712,12906,13408,1.015449864,TRUE
Seddon - Kingsville,FALSE,,9813,9815,9724,9363,9374,9575,0.975746459,TRUE
West Footscray - Tottenham,TRUE,,12258,12447,12370,11881,11996,12592,1.027247512,TRUE
Yarraville,TRUE,,15991,16092,16068,15651,15661,16020,1.00181352,TRUE
Bacchus Marsh,TRUE,,22493,23360,24263,25057,25628,26055,1.158360379,TRUE
Melton West,TRUE,,20034,20993,21432,21505,21849,22255,1.110861535,TRUE
Rockbank - Mount Cottrell,TRUE,,7572,10344,13341,17900,22960,27259,3.599973587,TRUE
Taylors Hill,FALSE,,20453,20444,20288,19794,19884,19892,0.972571261,TRUE
Burnside,FALSE,,5400,5549,5743,5857,6017,6225,1.152777778,FALSE
Burnside Heights,FALSE,,6658,6741,6628,6440,6356,6500,0.97626915,FALSE
Caroline Springs,FALSE,,21404,21352,21238,20634,20698,20942,0.978415249,TRUE
