STOP_NAME,longitude,latitude
47-Shoobra Rd/Glenhuntly Rd (Elsternwick),145.00913307992434,-37.88525788991932
48-Parkside St/Glenhuntly Rd (Elsternwick),145.01227300473147,-37.885635890026194
49-Kooyong Rd/Glenhuntly Rd (Elsternwick),145.01487977130884,-37.88594981002762
50-Royal Pde/Glenhuntly Rd (Caulfield),145.01833578020737,-37.88637785002848
67-Rogers Ave/Hawthorn Rd (Brighton East),145.01753692964584,-37.911064850877665
66-Union St/Hawthorn Rd (Brighton East),145.01797001008836,-37.90850381056861
65-Davey Ave/Hawthorn Rd (Brighton East),145.0183350507448,-37.90635686027939
64-Taylor St/Hawthorn Rd (Brighton East),145.018813852624,-37.903768820075996
63-North Rd/Hawthorn Rd (Brighton East),145.0193380156292,-37.901182850066846
62-Gardenvale Rd/Hawthorn Rd (Caulfield South),145.01980709845836,-37.89895589005903
61-Stone St/Hawthorn Rd (Caulfield South),145.02025890163202,-37.89653885005077
60-Dover St/Hawthorn Rd (Caulfield South),145.02055410390858,-37.89486782004514
59-Princes Park/Hawthorn Rd (Caulfield South),145.0209097866011,-37.89302687003894
58-Sycamore St/Hawthorn Rd (Caulfield South),145.02155887114915,-37.88959481002867
57-Glenhuntly Rd/Hawthorn Rd (Caulfield),145.02210390995825,-37.88664785002805
56-Briggs St/Hawthorn Rd (Caulfield),145.0224487891315,-37.884824810028334
55-Sylverly Gr/Hawthorn Rd (Caulfield North),145.02292182796697,-37.882435850029516
54-Glen Eira Rd/Hawthorn Rd (Caulfield North),145.02340998655544,-37.87992089003173
53-Northcote Ave/Hawthorn Rd (Caulfield North),145.0239258648169,-37.877198840035206
52-Halstead St/Hawthorn Rd (Caulfield North),145.02436182319758,-37.874925890030624
51-Balaclava Rd/Hawthorn Rd (Caulfield North),145.02482585993,-37.872427849700244
50-Inkerman Rd/Hawthorn Rd (Caulfield North),145.02541589578502,-37.86950086940783
49-Arthur St/Hawthorn Rd (Caulfield North),145.02576005316484,-37.867676839231216
48-Hawthorn Rd/Dandenong Rd (Caulfield North),145.02577480947878,-37.86541486892247
44-Bailey Ave/Dandenong Rd (Armadale),145.02384304657693,-37.86454483856488
43-Egerton Rd/Dandenong Rd (Armadale),145.02205600469443,-37.86377587829025
42-Kooyong Rd/Dandenong Rd (Armadale),145.01922496238896,-37.86255682781063
41-Cantala Ave/Dandenong Rd (Armadale),145.0177410415064,-37.86190981753595
40-Wattletree Rd/Dandenong Rd (Armadale),145.01517892053602,-37.86081181703003
38-Orrong Rd/Dandenong Rd (Prahran),145.01112496036376,-37.86025687642414
37-Lansdowne Rd/Dandenong Rd (St Kilda East),145.0075339606587,-37.85979085556132
36-Closeburn Ave/Dandenong Rd (St Kilda East),145.00464676155218,-37.85938180480853
35-Williams Rd/Dandenong Rd (Prahran),145.00207600261325,-37.85904988415453
34-The Avenue/Dandenong Rd (Windsor),144.99723976552332,-37.858399812969495
33-Hornby St/Dandenong Rd (Windsor),144.99570004668453,-37.85819281260436
32-Chapel St/Dandenong Rd (Windsor),144.99200177582327,-37.85748082303077
31-Queens Way/Queens Way (Windsor),144.98741178775626,-37.85614081362087
70-Cotham Rd/Burke Rd (Kew),145.06060191951877,-37.81085984492675
69-Peverill St/Burke Rd (Balwyn),145.06007488083097,-37.814094895782624
68-Mont Albert Rd/Burke Rd (Camberwell),145.0597710419015,-37.81572983593183
67-Camberwell Girls Grammar/Burke Rd (Canterbury),145.0592328444096,-37.81847888565396
66-Canterbury Rd/Burke Rd (Camberwell),145.05872776727975,-37.821273835439534
64-Camberwell Station/Burke Rd (Camberwell),145.05782093284535,-37.825953835256286
63-Prospect Hill Rd/Burke Rd (Camberwell),145.05743789557224,-37.82801087523731
61-Camberwell Junction/Burke Rd (Camberwell),145.05684605847858,-37.831074835211076
60-Reserve Rd/Burke Rd (Camberwell),145.05631793869583,-37.833876895057756
59-Seymour Gr/Burke Rd (Camberwell),145.0560799787723,-37.83517982497469
58-Currajong Ave/Burke Rd (Camberwell),145.05552593894217,-37.838072874778625
57-Pine Ave/Burke Rd (Camberwell),145.05514505903443,-37.840048824628916
56-Anderson Rd/Burke Rd (Camberwell),145.0548548986496,-37.84157585442293
55-Middle Rd/Burke Rd (Camberwell),145.0544599772936,-37.8436428840328
54-Toorak Rd/Burke Rd (Camberwell),145.05408989531554,-37.84560083359393
53-Howitt St/Burke Rd (Glen Iris),145.05363305231506,-37.84786487294915
52-Bickleigh St/Burke Rd (Glen Iris),145.0532280500917,-37.84986782240936
51-Gardiner Station/Burke Rd (Glen Iris),145.05266896749998,-37.85294888164317
50-Glenarm Rd/Malvern Rd (Glen Iris),145.05130096638163,-37.85440481119918
49-Belmont Ave/Malvern Rd (Glen Iris),145.04842384570432,-37.854032840982406
48-Edgar St/Malvern Rd (Glen Iris),145.04584084466137,-37.853718830753344
