streetAddress,price,bedrooms,bathrooms,parking,addressLocality,addressRegion,postalCode,property_type,nearby_schools,nbn_type,age_distribution,geo
6/80 Clyde Street,975.0,3.0,2.0,2.0,Thornbury,VIC,3071,Townhouse/Villa,"['Thornbury High School', 'Santa Maria College', 'Holy Spirit School', 'Croxton Special School', ""St John's College Preston"", ""St Joseph's School"", ""St Bernadette's School"", ""St Anthony's School"", 'Sacred Heart School', 'Parade College - Preston Campus', ""St Mary's School"", 'Wales Street Primary School', 'Fitzroy Community School - Thornbury Campus']",FTTP,balanced age,"{'latitude': -37.7620825, 'longitude': 145.0151178}"
10 Vail Street,650.0,2.0,1.0,0.0,Prahran,VIC,3181,House,"['The King David School - Junior School', ""St Mary's College Melbourne - Presentation Campus"", 'Our Lady of Lourdes School', 'Presentation College Windsor', 'The King David School - The Rebecca Magid Centre', 'Port Phillip Specialist School', 'Southern Autistic School', 'The King David School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School', 'Loreto Mandeville Hall', ""St Mary's College Melbourne - Edmund Rice Campus"", 'Armadale Primary School']",HFC,balanced age,
900/8 Waterview Walk,600.0,1.0,1.0,0.0,Docklands,VIC,3008,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'University High School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTB,20 - 39,
313/1050 Mt Alexander Road,530.0,2.0,2.0,1.0,Essendon,VIC,3040,Apartment,"['Lowther Hall Anglican Grammar School', 'Strathmore Secondary College', 'Essendon Primary School', 'Penleigh & Essendon Grammar School - Moonee Ponds Campus', ""St Therese's School"", ""St Columba's College"", 'Resurrection House', 'Ave Maria College', 'Furlong Park School For Deaf Children', ""St Vincent de Paul's School"", ""St Monica's Primary School"", ""St Bernard's College - Resurrection House Campus"", 'Penleigh & Essendon Grammar School - Essendon Campus']",FTTP,balanced age,
270 Power Road,600.0,3.0,1.0,1.0,Endeavour Hills,VIC,3802,House,"['Chalcot Lodge Primary School', 'Baringa Special School', 'Holy Family School', 'Ilim College - Doveton Campus', 'Doveton College', 'SEDA College (Victoria) - Basketball - Dandenong', 'SEDA College (Victoria) - AFL Dandenong Campus - Dandenong Oasis', 'St Paul Apostle South School', 'Maranatha Christian School - Doveton Campus', 'Southern Autistic School', ""St Mary's College for the Deaf - Dandenong Campus"", 'Minaret College - Doveton Campus', 'Gleneagles Secondary College', 'St Paul Apostle North School', ""St John's Regional College""]",HFC,balanced age,
14 Herbert Street St,470.0,3.0,1.0,2.0,Avondale Heights,VIC,3034,House,"['Caroline Chisholm Catholic College', 'Braybrook College', 'SEDA College (Victoria) - Basketball Braybrook', 'Sunshine Christian School', 'Avondale Primary School', 'Christ the King Primary School', ""St Bernadette's School"", 'Hester Hornbrook Academy - Braybrook Campus', 'St Martin de Porres School', 'Rosamond Special School', 'Caroline Chisholm Catholic College - Christ The King Campus', 'Furlong Park School For Deaf Children', 'Caroline Chisholm Catholic College - Sacred Heart Campus', 'MacKillop Specialist School - Flexible Learning Centre Maidstone']",HFC,balanced age,
58 Douglas Street,205.0,1.0,1.0,0.0,Noble Park,VIC,3174,Apartment,"['SEDA College (Victoria) - Building and Construction - Dandenong', 'Noble Park Primary School', 'Killester College', 'Hoa Nghiem Primary School', 'SEDA College (Victoria) - Netball  - Keysborough', ""St Joseph's School"", 'Noble Park Secondary College', ""St Anthony's School"", ""St Gerard's School"", 'Nazareth College', 'Southern Autistic School', 'Resurrection School', ""St Elizabeth's School""]",,balanced age,
40/1 Wellington Crescent,800.0,3.0,1.0,1.0,East Melbourne,VIC,3002,House,"['Ozford College - Ozford College Campus', ""Stott's Colleges"", 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Melbourne Girls Grammar - Morris Hall Campus', ""St Kevin's College - Waterford"", 'Academy of Mary Immaculate', 'Sacred Heart School', 'Richmond High School-Gleadell Street Campus', 'Melbourne Indigenous Transition School', 'Richmond West Primary School', 'Victorian College Of The Arts Secondary School', 'Collingwood College']",FTTB,balanced age,
4510/568 Collins Street,580.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'University High School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTB,20 - 39,
803/1 Joseph Road,610.0,2.0,2.0,1.0,Footscray,VIC,3011,Apartment,"[""St John's School"", 'Footscray City College', 'SEDA College (Victoria) - MC North Melbourne YMCA', 'Footscray City Primary School', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', 'SEDA College (Victoria) - Melbourne City Talented Player Program - Kensington', 'Holy Rosary School', ""St Brendan's School"", 'Rosamond Special School', ""St Monica's School"", ""St Augustine's School"", 'Footscray High School', 'Furlong Park School For Deaf Children', 'SEDA College (Victoria) - Netball Ascot Vale', 'SEDA College (Victoria) - Cricket Australia - Footscray']",FTTP,balanced age,
1/4 Dundas Street,420.0,1.0,1.0,1.0,Thornbury,VIC,3071,Apartment,"['Santa Maria College', 'Antonine College - Cedar Campus', 'Holy Spirit School', 'Croxton Special School', ""St John's College Preston"", 'SEDA College (Victoria) - AFL- Preston', 'Sacred Heart School', 'Thornbury Primary School', 'Preston High School', ""St Raphael's School"", 'Parade College - Preston Campus', ""St Mary's School"", 'Fitzroy Community School - Thornbury Campus']",HFC,balanced age,"{'latitude': -37.7525377, 'longitude': 145.0025159}"
3/50A Wanda Street,750.0,2.0,2.0,2.0,Mulgrave,VIC,3170,Townhouse/Villa,"['Mazenod College', 'Minaret College', 'Fitra Community School', 'Albany Rise Primary School', 'Nazareth College', ""St Joseph's School"", ""St John Vianney's School"", 'Southern Autistic School', 'Caulfield Grammar School - Wheelers Hill Campus', ""St Justin's School"", 'Cheshire School', 'Wellington Secondary College', 'Good Shepherd School']",FTTP,balanced age,"{'latitude': -37.92322180000001, 'longitude': 145.1667417}"
4 Theodore Street,380.0,2.0,1.0,3.0,Flora Hill,VIC,3550,House,"[""St Kilian's School"", 'Kennington Primary School', 'SEDA College (Victoria) - Multi Bendigo', ""St Joseph's School"", ""St Therese's School"", 'Catherine McAuley College', 'Bendigo Senior Secondary College', 'Victory Christian College', 'Doxa School Bendigo', 'Girton Grammar School - Junior School', 'Bendigo South East 7-10 Secondary College', 'Creek Street Christian College', 'Girton Grammar School']",FTTN,balanced age,
101/130 Dudley St,520.0,1.0,1.0,0.0,West Melbourne,VIC,3003,Apartment,"['River Nile School', ""St Joseph's Flexible Learning Centre"", 'Hester Hornbrook Academy - City Campus', 'University High School', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', 'Eltham College - Lonsdale Street Campus', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'North Melbourne Primary School']",FTTP,20 - 39,"{'latitude': -37.809552, 'longitude': 144.950835}"
51 Lord Street,1100.0,4.0,1.0,2.0,Richmond,VIC,3121,House,"[""Strathcona Baptist Girls' Grammar - Hawthorn Campus"", 'Richmond High School', 'SEDA College (Victoria) - FFV Burnley', 'Melbourne Girls College', 'Ignatius Learning Centre', ""St Kevin's College - Waterford"", 'Rossbourne School', 'Melbourne Indigenous Transition School - MITS Year 8 Campus', 'Richmond High School-Gleadell Street Campus', 'SEDA College (Victoria) - Netball Burnley', 'Yarra Primary School', 'SEDA College (Victoria) - FFV Burnley 2', 'Melbourne Indigenous Transition School', 'Trinity Catholic School']",FTTC,20 - 39,"{'latitude': -37.8214847, 'longitude': 145.0049693}"
16 Garfield Street,650.0,2.0,1.0,1.0,Fitzroy,VIC,3065,House,"['Ozford College - Ozford College Campus', ""Stott's Colleges"", 'Carlton Gardens Primary School', ""Simonds Catholic College - St Brigid's VCE Campus"", 'Holmes Grammar School', 'Ozford College', 'Fitzroy Community School', ""St Joseph's School"", 'Academy of Mary Immaculate', 'Lynall Hall Community School-The Island Campus', 'Sacred Heart School', 'Collingwood College', 'Hester Hornbrook Academy - North Fitzroy Campus']",FTTC,balanced age,
6 Midlothian St,840.0,4.0,2.0,2.0,Malvern East,VIC,3145,House,"['Ashwood High School', 'Berengarra School - Caf� Education', ""Sacred Heart Girls' College"", ""St Mary Magdalen's School"", 'The Currajong School', 'Salesian College Chadstone', 'Malvern Valley Primary School', 'Port Phillip Specialist School', 'De La Salle College - Holy Eucharist Campus', 'Oakleigh Grammar', 'Sacred Heart School', 'Southern Autistic School', 'Berengarra School - Chadstone Campus', ""St Michael's School""]",HFC,balanced age,
27 Otago Grove,565.0,4.0,2.0,3.0,Werribee,VIC,3030,House,"['MacKillop Catholic Regional College', 'Walcom Ngarrwa Secondary College', 'Corpus Christi School', 'Manor Lakes P-12 College', 'Werribee Community College', 'Wyndham Central Secondary College', ""St Joseph's Catholic Primary School"", 'Christway College - Wyndham', 'Lollypop Creek Primary School', 'SEDA College (Victoria) - AFL - Werribee', ""St Andrew's School"", 'Our Lady of the Southern Cross', 'Werribee Community College - The Cottage']",,balanced age,
6/1802 Dandenong Road,600.0,3.0,1.0,1.0,Clayton,VIC,3168,Apartment,"['Mazenod College', 'Clayton North Primary School', 'Minaret College', 'Westall Secondary College', 'Christ Our Holy Redeemer School', ""St John Vianney's School"", ""St Andrew's School"", 'Southern Autistic School', ""St Peter's School"", 'Fitra Community School', 'Cheshire School', 'SEDA College (Victoria) - AFL - Clayton', 'John Monash Science School', 'Good Shepherd School']",FTTC,20 - 39,"{'latitude': -37.9179672, 'longitude': 145.1320795}"
P12parking/191 Powlett Street,62.0,1.0,1.0,1.0,East Melbourne,VIC,3002,Any,"['Ozford College - Ozford College Campus', ""Stott's Colleges"", 'Ignatius Learning Centre', 'Holmes Grammar School', ""St Kevin's College - Waterford"", ""St Joseph's School"", 'Melbourne Indigenous Transition School - MITS Year 8 Campus', 'Academy of Mary Immaculate', 'Lynall Hall Community School-The Island Campus', 'Sacred Heart School', 'Melbourne Indigenous Transition School', 'Richmond West Primary School', 'Collingwood College']",,balanced age,
1112/151 City Road,780.0,2.0,2.0,1.0,Southbank,VIC,3006,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', ""Stott's Colleges"", 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Youth2Industry College', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Melbourne Grammar School - Wadhurst Campus', 'Collingwood College']",FTTP,20 - 39,"{'latitude': -37.8236, 'longitude': 144.9631013}"
137/79 Whiteman Street,920.0,3.0,2.0,2.0,Southbank,VIC,3006,Apartment,"['Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Youth2Industry College', 'SEDA College (Victoria) - Sailing - Albert Park', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Galilee Regional Catholic Primary School', 'Collingwood College', 'Haileybury College - City Boys']",FTTB,20 - 39,
308/18 Malone Street,600.0,2.0,1.0,1.0,Geelong,VIC,3220,Apartment,"['Ashby Primary School', 'Geelong High School', 'The Geelong College', ""St John's Lutheran School Geelong"", ""St Patrick's School"", 'SEDA College (Victoria) - BVNV Geelong', 'Geelong Grammar School - Bostock House Campus', ""Geelong Lutheran College - St John's Newtown Campus"", 'Sacred Heart College', 'Indie School Geelong', ""St Mary's School"", 'Matthew Flinders Girls Secondary College', ""St Robert's School""]",,balanced age,
1715/8 Marmion Place,680.0,2.0,1.0,1.0,Docklands,VIC,3008,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', 'Eltham College - Lonsdale Street Campus', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTB,20 - 39,
4/29 Maddox Road,730.0,3.0,2.0,2.0,Newport,VIC,3015,Townhouse/Villa,"['Australian Islamic Centre College', 'Bayside P-12 College', 'Westbourne Grammar School - Williamstown Campus', 'Williamstown High School-Bayview Campus', 'St Leo the Great Primary School', 'Emmanuel College', 'Sacred Heart School', ""St Margaret Mary's School"", 'Rosamond Special School', 'Newport Gardens Primary School', 'Bayside P-12 College-Paisley Campus', 'Annunciation School', 'Westbourne Grammar School', 'Williamstown High School', ""St Mary's School"", ""St Augustine's School""]",FTTC,balanced age,"{'latitude': -37.8435992, 'longitude': 144.8687328}"
16 Pridham Street,650.0,3.0,1.0,0.0,Kensington,VIC,3031,House,"['SEDA College (Victoria) - MC North Melbourne YMCA', 'Mount Alexander 7-12 College', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', 'SEDA College (Victoria) - Melbourne City Talented Player Program - Kensington', 'Holy Rosary School', ""St Brendan's School"", ""St Michael's Primary School"", 'St Aloysius College', ""St Monica's School"", 'Kensington Primary School', 'Furlong Park School For Deaf Children', ""St Mary's School"", 'SEDA College (Victoria) - Melbourne Sports Centres Parkville']",FTTC,balanced age,"{'latitude': -37.7891837, 'longitude': 144.9307327}"
Carpark1209/673 Latrobe Street,46.0,0.0,0.0,1.0,Docklands,VIC,3008,House,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', 'Eltham College - Lonsdale Street Campus', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",,balanced age,
14/448 Albion Street,380.0,1.0,1.0,1.0,Brunswick West,VIC,3055,Apartment,"['Lowther Hall Anglican Grammar School', 'Brunswick North West Primary School', 'Antonine College', ""St Fidelis' School"", ""St Joseph's School"", ""St Columba's College"", ""St Margaret Mary's School"", 'Islamic College of Sport', 'Brunswick Secondary College', ""St Vincent de Paul's School"", ""St Monica's Primary School"", 'Penleigh & Essendon Grammar School - Essendon Campus']",HFC,20 - 39,
1803/65 Dudley Street,680.0,2.0,2.0,0.0,West Melbourne,VIC,3003,Apartment,"['River Nile School', ""St Joseph's Flexible Learning Centre"", 'Hester Hornbrook Academy - City Campus', 'University High School', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', 'Eltham College - Lonsdale Street Campus', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'North Melbourne Primary School']",FTTP,20 - 39,
15 Kailash Road,850.0,5.0,4.0,2.0,Werribee,VIC,3030,House,"['Werribee Community College - The Cottage', 'MacKillop Catholic Regional College', 'Bethany Catholic Primary School', 'Heathdale Christian College', 'Corpus Christi School', 'Werribee Community College', ""St Joseph's Catholic Primary School"", 'Christway College - Wyndham', ""St Andrew's School"", 'SEDA College (Victoria) - AFL - Werribee', 'Werribee Secondary College', 'Werribee Primary School']",FTTP,balanced age,"{'latitude': -37.9122905, 'longitude': 144.647267}"
123 The Esplanade,900.0,5.0,2.0,3.0,Torquay,VIC,3228,House,"['Lisieux Catholic Primary School', 'Torquay P-6 College', 'Christian College Geelong - Surf Coast Campus', 'St Therese School', 'Surf Coast Secondary College']",FTTN,balanced age,
9 Mia Street,410.0,3.0,2.0,1.0,Alfredton,VIC,3350,House,"['Loreto College - The Little Flower Campus', 'Ballarat Clarendon College', 'Loreto College', 'St Thomas More School', ""St Aloysius' School"", ""St Patrick's College"", 'Lucas Primary School', 'Lumen Christi School', 'Siena Catholic Primary School', 'Ballarat High School', 'Ballarat Grammar']",FTTP,balanced age,
203/141 Waverley Road,350.0,1.0,1.0,0.0,Malvern East,VIC,3145,Apartment,"['Sacre Coeur', 'Lloyd Street Primary School', 'Melbourne Montessori School - Grange Road Campus', 'The Currajong School', 'Glen Eira College', 'Port Phillip Specialist School', ""St Anthony's School"", 'De La Salle College - Holy Eucharist Campus', ""St Aloysius' School"", ""St Roch's School"", 'Southern Autistic School', ""Korowa Anglican Girls' School"", ""St Mary's School"", 'Caulfield Grammar School - Malvern Campus']",HFC,20 - 39,
2/44 Carrol Grove,540.0,2.0,1.0,1.0,Mount Waverley,VIC,3149,Townhouse/Villa,"['Berengarra School - Caf� Education', ""Sacred Heart Girls' College"", 'Avila College', 'Holy Family School', 'Mount Waverley Heights Primary School', ""St Mary Magdalen's School"", 'Christ Our Holy Redeemer School', 'Salesian College Chadstone', 'Mount Waverley Secondary College', 'Oakleigh Grammar', 'Sacred Heart School', 'Southern Autistic School', 'Berengarra School - Chadstone Campus']",HFC,balanced age,"{'latitude': -37.892341, 'longitude': 145.1116797}"
26 Mary Street,895.0,3.0,2.0,2.0,Kew,VIC,3101,House,"['Giant Steps Melbourne', 'Genazzano FCJ College', 'Kew High School', ""Methodist Ladies' College"", 'Bulleen Heights School', 'Carey Baptist Grammar School', 'Andale School', 'Sacred Heart School', 'Preshil, The Margaret Lyttle Memorial School - Blackhall-Kalimna Preshil Senior School', 'Xavier College', ""Ruyton Girls' School"", 'Bulleen Heights School-Manningham Road Campus', 'Swinburne Senior Secondary College', 'Kew Primary School', 'Trinity Grammar School Kew']",HFC,balanced age,"{'latitude': -37.8062081, 'longitude': 145.038341}"
55 Montego Boulevard,560.0,4.0,2.0,2.0,Sunbury,VIC,3429,House,"[""St Anne's School"", ""St Mary's College for the Deaf - Sunbury Campus"", 'Our Lady of Mount Carmel School', 'Goonawarra Primary School', 'Sunbury College', 'Salesian College Sunbury']",FTTP,balanced age,"{'latitude': -37.5781881, 'longitude': 144.7639227}"
2 Ruby Lane,500.0,3.0,2.0,1.0,Greensborough,VIC,3088,Townhouse/Villa,"['Parade College', 'Indie School Greensborough', 'St Francis Xavier Primary School', ""Catholic Ladies' College Ltd"", 'Apollo Parkways Primary School', 'Loyola College', 'Sacred Heart School', ""St Mary's School"", 'North-Eastern Montessori School - Plenty Valley International Montessori School', 'St Helena Secondary College', 'St Thomas the Apostle School', 'Holy Trinity Primary School']",HFC,balanced age,
5012/33 Rose Lane,810.0,2.0,2.0,0.0,Melbourne,VIC,3000,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",,20 - 39,"{'latitude': -37.8150001, 'longitude': 144.9538708}"
2/10 Lorensen Avenue,490.0,2.0,1.0,1.0,Coburg North,VIC,3058,Townhouse/Villa,"['Mercy College', 'Ilim College - Glenroy Campus', 'Darul Ulum College of Victoria', 'Coburg High School', 'Pascoe Vale North Primary School', 'Australian International Academy of Education', ""St Mark's School"", ""St Oliver Plunkett's School"", 'Islamic College of Sport', 'Pascoe Vale Girls Secondary College', 'Australian International Academy of Education - Senior Campus', ""St Thomas More's School"", ""St Paul's School""]",FTTC,balanced age,
504/838 Bourke Street,730.0,2.0,2.0,1.0,Docklands,VIC,3008,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'University High School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTB,20 - 39,
304/339 Swanston Street,620.0,2.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus']",FTTB,20 - 39,
9 Julian Street,400.0,3.0,1.0,2.0,Werribee,VIC,3030,House,"['Bethany Catholic Primary School', 'MacKillop Catholic Regional College', 'Heathdale Christian College', 'Corpus Christi School', 'Werribee Community College', 'St Peter Apostle School', 'Wyndham Central Secondary College', 'Christway College - Wyndham', ""St Andrew's School"", 'SEDA College (Victoria) - AFL - Werribee', 'Manorvale Primary School', 'Werribee Community College - The Cottage']",FTTP,balanced age,
1112/7 Katherine Place,590.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'University High School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTP,20 - 39,"{'latitude': -37.8201715, 'longitude': 144.9564604}"
78 Earl St,850.0,2.0,1.0,0.0,Windsor,VIC,3181,House,"[""St Mary's College Melbourne - Presentation Campus"", 'Windsor Primary School', 'Hester Hornbrook Academy - Prahran Campus', 'Cheder Levi Yitzchok Inc', 'Our Lady of Lourdes School', 'The King David School', 'Presentation College Windsor', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School', ""St Mary's College Melbourne - Edmund Rice Campus""]",FTTC,20 - 39,
3901/80 A'Beckett Street,670.0,2.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus']",,20 - 39,"{'latitude': -37.8089991, 'longitude': 144.9610792}"
304/126 Chapel St,575.0,1.0,1.0,1.0,St Kilda,VIC,3182,Apartment,"['Beth Rivkah Ladies College', 'Adass Israel School - Glen Eira Road Campus', 'Cheder Levi Yitzchok Inc', 'Mount Scopus Memorial College - Gandel Besen House Campus', 'St Kilda Primary School', ""Christian Brothers' College - Balaclava Campus"", 'Yeshivah College', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", 'Yesodei HaTorah College', ""St Mary's College Melbourne - Edmund Rice Campus"", 'Elwood College']",HFC,balanced age,"{'latitude': -37.8690955, 'longitude': 144.9904281}"
490 Elgar Road,310.0,1.0,1.0,6.0,Box Hill,VIC,3128,Apartment,"['Our Lady of Perpetual Succour School', 'Koonung Secondary College', ""St Paul's College"", ""St Francis Xavier's School"", 'Box Hill Senior Secondary College', 'Our Holy Redeemer School', 'Berengarra School', 'Bulleen Heights School', ""St Bridget's School"", 'SEDA College (Victoria) - Cricket Australia - Box Hill', 'Our Lady of Sion College', 'Kingswood College', 'Mont Albert Primary School', ""Fintona Girls' School"", 'Bulleen Heights School-Manningham Road Campus']",HFC,20 - 39,
1517/570 Lygon Street,390.0,1.0,1.0,0.0,Carlton,VIC,3053,Apartment,"[""St John's School"", 'River Nile School', ""St Joseph's Flexible Learning Centre"", 'University High School', ""Simonds Catholic College - St Brigid's VCE Campus"", 'Fitzroy Community School', ""St Joseph's School"", 'Academy of Mary Immaculate', 'SEDA College (Victoria) - Cricket Australia -  Carlton', 'Sacred Heart School', 'Carlton Primary School', 'Hester Hornbrook Academy - North Fitzroy Campus']",FTTP,20 - 39,
LG01/6 Bills Street,354.0,1.0,1.0,1.0,Hawthorn,VIC,3122,Apartment,"[""St Kevin's College"", ""St Catherine's School"", 'Auburn High School', 'Alia College', 'Bulleen Heights School', 'Erasmus Primary School', 'SEDA College (Victoria)', ""St Joseph's School"", 'Bialik College', 'Auburn South Primary School', 'Scotch College', 'SEDA College (Victoria) - Netball Burnley', 'Bulleen Heights School-Manningham Road Campus', 'SEDA College (Victoria) - Hawthorn Talented Player Program (TPP)']",FTTP,balanced age,
2719/555 Swanston Street,620.0,2.0,1.0,0.0,Carlton,VIC,3053,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Haileybury College - City Girls', 'Simonds Catholic College', 'Haileybury College - City Boys']",FTTP,20 - 39,"{'latitude': -37.8057745, 'longitude': 144.9626168}"
7/251 Springfield Road,500.0,2.0,1.0,1.0,Nunawading,VIC,3131,Apartment,"[""St John's School"", 'Nunawading Christian College - Secondary', ""St Francis Xavier's School"", 'Blackburn High School', 'St Thomas the Apostle School', 'Berengarra School', 'Whitehorse Primary School', ""St Philip's School"", 'Bulleen Heights School', 'SEDA College (Victoria) - Cricket Australia - Box Hill', ""Ss Peter & Paul's School"", 'Bulleen Heights School-Manningham Road Campus', 'St Luke the Evangelist School', 'Nunawading Christian College - Primary']",HFC,balanced age,
3009D/648 Lonsdale Street,600.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",,20 - 39,
346 Moray Street,1000.0,3.0,1.0,0.0,South Melbourne,VIC,3205,House,"['SEDA College (Victoria) - MSAC Function Room', 'Hester Hornbrook Academy - South Melbourne', 'Christ Church Grammar School', 'Youth2Industry College', 'Melbourne Grammar School', 'South Melbourne Park Primary School', 'SEDA College (Victoria) - Sailing - Albert Park', 'Hester Hornbrook Academy', 'Melbourne Girls Grammar - Morris Hall Campus', 'Port Phillip Specialist School', 'Southern Autistic School', 'Galilee Regional Catholic Primary School', 'Albert Park College', 'Melbourne Grammar School - Wadhurst Campus']",FTTN,balanced age,
11/13-15 Lambert Street,350.0,1.0,1.0,1.0,Richmond,VIC,3121,Apartment,"[""Strathcona Baptist Girls' Grammar - Hawthorn Campus"", 'Richmond High School', 'Melbourne Girls College', 'Ignatius Learning Centre', 'Xavier College - Burke Hall', ""St Kevin's College - Waterford"", ""St Joseph's School"", 'Melbourne Indigenous Transition School - MITS Year 8 Campus', 'Rossbourne School', 'Richmond High School-Gleadell Street Campus', 'Sophia Mundi Steiner School', 'Yarra Primary School', 'Melbourne Indigenous Transition School', 'Trinity Catholic School']",,20 - 39,"{'latitude': -37.8122803, 'longitude': 145.0028469}"
