Suburb,Month,Year,Property Type,Count,Total_Price,Median
Altona,Mar,2003,Other properties,82.0,18410.0,224.5121951219512
Altona,Mar,2004,flat,687.0,117670.0,171.28093158660843
Altona,Mar,2004,house,1093.0,224405.0,205.31107044830742
Altona,Mar,2004,Other properties,92.0,22965.0,249.6195652173913
Altona,Mar,2005,flat,637.0,115230.0,180.89481946624804
Altona,Mar,2005,house,1078.0,235015.0,218.01020408163265
Altona,Mar,2005,Other properties,85.0,9755.0,114.76470588235294
Altona,Mar,2006,flat,667.0,120675.0,180.92203898050974
Altona,Mar,2006,house,1209.0,278320.0,230.20678246484698
Altona,Mar,2006,Other properties,135.0,23315.0,172.7037037037037
Altona,Mar,2007,flat,598.0,117760.0,196.92307692307693
Altona,Mar,2007,house,1186.0,294860.0,248.61720067453626
Altona,Mar,2007,Other properties,216.0,47380.0,219.35185185185185
Altona,Mar,2008,flat,586.0,130055.0,221.9368600682594
Altona,Mar,2008,house,1418.0,401940.0,283.4555712270804
Altona,Mar,2008,Other properties,225.0,58690.0,260.84444444444443
Altona,Mar,2009,flat,620.0,156755.0,252.83064516129033
Altona,Mar,2009,house,1621.0,514180.0,317.19925971622456
Altona,Mar,2009,Other properties,277.0,84465.0,304.927797833935
Altona,Mar,2010,flat,648.0,170335.0,262.86265432098764
Altona,Mar,2010,house,1902.0,619500.0,325.7097791798107
Altona,Mar,2010,Other properties,323.0,129525.0,401.00619195046437
Altona,Mar,2011,flat,806.0,226335.0,280.8126550868486
Altona,Mar,2011,house,2244.0,755780.0,336.80035650623887
Altona,Mar,2011,Other properties,308.0,126025.0,409.1720779220779
Altona,Mar,2012,flat,855.0,243467.0,284.75672514619885
Altona,Mar,2012,house,2974.0,1002350.0,337.0376597175521
Altona,Mar,2012,Other properties,388.0,145793.0,375.75515463917526
Altona,Mar,2013,flat,859.0,250337.0,291.4284051222352
Altona,Mar,2013,house,3042.0,1037954.0,341.2077580539119
Altona,Mar,2013,Other properties,368.0,150362.0,408.5923913043478
Altona,Mar,2014,flat,1015.0,301650.0,297.192118226601
Altona,Mar,2014,house,2858.0,1008840.0,352.9881035689293
Altona,Mar,2014,Other properties,338.0,163360.0,483.31360946745565
Altona,Mar,2015,flat,1042.0,322870.0,309.85604606525914
Altona,Mar,2015,house,2800.0,1030330.0,367.975
Altona,Mar,2015,Other properties,330.0,107000.0,324.24242424242425
Altona,Mar,2016,flat,989.0,319010.0,322.5581395348837
Altona,Mar,2016,house,3202.0,1208600.0,377.4515927545284
Altona,Mar,2016,Other properties,282.0,127400.0,451.7730496453901
Altona,Mar,2017,flat,971.0,325636.0,335.3614830072091
Altona,Mar,2017,house,3594.0,1365690.0,379.991652754591
Altona,Mar,2017,Other properties,291.0,153954.0,529.0515463917526
Altona,Mar,2018,flat,967.0,338720.0,350.2792140641158
Altona,Mar,2018,house,3466.0,1378730.0,397.7870744373918
Altona,Mar,2018,Other properties,433.0,180290.0,416.3741339491917
Altona,Mar,2019,flat,997.0,362165.0,363.25476429287863
Altona,Mar,2019,house,3638.0,1474820.0,405.3930731170973
Altona,Mar,2019,Other properties,507.0,219815.0,433.560157790927
Altona,Mar,2020,flat,970.0,359890.0,371.02061855670104
Altona,Mar,2020,house,3712.0,1504950.0,405.4283405172414
Altona,Mar,2020,Other properties,642.0,264760.0,412.398753894081
Altona,Mar,2021,flat,976.0,349150.0,357.7356557377049
Altona,Mar,2021,house,3392.0,1361245.0,401.3104363207547
Altona,Mar,2021,Other properties,510.0,240805.0,472.1666666666667
Altona,Mar,2022,flat,1087.0,391315.0,359.9954001839926
Altona,Mar,2022,house,3524.0,1441305.0,408.99687854710555
Altona,Mar,2022,Other properties,520.0,219780.0,422.65384615384613
Altona,Mar,2023,flat,1060.0,401241.0,378.5292452830189
Altona,Mar,2023,house,3325.0,1468610.0,441.6872180451128
Altona,Mar,2023,Other properties,469.0,217369.0,463.4733475479744
Altona,Sep,2000,flat,703.0,108845.0,154.82930298719774
Altona,Sep,2000,house,799.0,144210.0,180.4881101376721
Altona,Sep,2000,Other properties,52.0,11125.0,213.94230769230768
Altona,Sep,2001,flat,705.0,113985.0,161.68085106382978
Altona,Sep,2001,house,810.0,152403.0,188.15185185185186
Altona,Sep,2001,Other properties,65.0,10112.0,155.56923076923076
Altona,Sep,2002,flat,726.0,121595.0,167.4862258953168
Altona,Sep,2002,house,919.0,184694.0,200.9727965179543
